Componente,URLs
SCC 1,"https://untref.edu.ar/mundountref/tags/carreras, https://untref.edu.ar/mundountref/fuerte-presencia-de-la-untref-en-el-congreso-interamericano-de-estadistica, https://untref.edu.ar/mundountref/administracion-universidades-2018, https://untref.edu.ar/mundountref/piadt-investigadores-comunidad-2019, https://untref.edu.ar/mundountref/doc-untref-31-colores-en-la-31, https://untref.edu.ar/mundountref/reconocimiento-iglesias-rossi-oiant-bariloche, https://untref.edu.ar/mundountref/tags/seminario, https://untref.edu.ar/mundountref/tags/convenio, https://untref.edu.ar/mundountref/convenio-untref-ministerio-derechos-humanos, https://untref.edu.ar/mundountref/nueva-maestria-en-opera-experimental, https://untref.edu.ar/mundountref/capacitacion-enfermeros-san-luis, https://untref.edu.ar/mundountref/el-tango-de-la-untref-cierra-el-ano-en-la-gran-milonga-nacional"
SCC 2,"https://untref.edu.ar/mundountref/episodio-1-derecho-a-la-secundaria-podcast, https://untref.edu.ar/mundountref/la-lupa-mala-praxis-podcast"
SCC 3,"https://untref.edu.ar/docentes_departamento, https://untref.edu.ar/docente/186, https://untref.edu.ar/docente/954, https://untref.edu.ar/docente/694, https://untref.edu.ar/docente/449, https://untref.edu.ar/docente/324, https://untref.edu.ar/docente/381, https://untref.edu.ar/docente/536, https://untref.edu.ar/docente/871, https://untref.edu.ar/docente/732, https://untref.edu.ar/docente/230, https://untref.edu.ar/docente/992, https://untref.edu.ar/docente/237, https://untref.edu.ar/docente/79, https://untref.edu.ar/docente/690, https://untref.edu.ar/docente/599, https://untref.edu.ar/docente/90, https://untref.edu.ar/docente/673, https://untref.edu.ar/docente/97, https://untref.edu.ar/docente/768, https://untref.edu.ar/docente/442, https://untref.edu.ar/docente/936, https://untref.edu.ar/docente/91, https://untref.edu.ar/docente/156, https://untref.edu.ar/docente/356, https://untref.edu.ar/docente/1004, https://untref.edu.ar/docente/1008, https://untref.edu.ar/docente/1026, https://untref.edu.ar/docente/849, https://untref.edu.ar/docente/273, https://untref.edu.ar/docente/808, https://untref.edu.ar/docente/359, https://untref.edu.ar/docente/890, https://untref.edu.ar/docente/222, https://untref.edu.ar/docente/686, https://untref.edu.ar/docente/569, https://untref.edu.ar/docente/740, https://untref.edu.ar/docente/312, https://untref.edu.ar/docente/163, https://untref.edu.ar/docente/877, https://untref.edu.ar/docente/705, https://untref.edu.ar/docente/358, https://untref.edu.ar/docente/507"
SCC 4,"https://untref.edu.ar/mundountref/tags/ddhh, https://untref.edu.ar/mundountref/conferencias-de-agnes-heller-en-la-untref, https://untref.edu.ar/mundountref/estela-de-carlotto-recibio-el-doctorado-honoris-causa-de-la-untref, https://untref.edu.ar/mundountref/argentina-negra-afro-discriminacion, https://untref.edu.ar/mundountref/protocolo-genero-carla-fernandez, https://untref.edu.ar/mundountref/derechos-humanos-pandemia-charla-virtual"
SCC 5,"https://untref.edu.ar/mundountref/nueva-ola-de-cine-rumano, https://untref.edu.ar/mundountref/estrena-emilia-envidia-la-nueva-serie-de-un3, https://untref.edu.ar/mundountref/manisima-llega-a-la-pantalla-de-un3"
SCC 6,"https://untref.edu.ar/muntref/carla-zaccagnini-4/, https://untref.edu.ar/muntref/es/museum-of-immigration"
SCC 7,"https://untref.edu.ar/muntref/en/muestras/crossmodal-correspondences, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/saveclip-app_364990694_191924027205829_3487319607526712203_n/, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/img_0184/, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/saveclip-app_356042701_218859921058567_8695001086152153868_n/, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/copia-de-4-artlab/"
SCC 8,"https://untref.edu.ar/events/i-jornadas-latinoamericanas-sobre-criminologia-y-seguridad-ciudadana, https://untref.edu.ar/untref37/uploads/Formularios/Criminologia/"
SCC 9,"https://untref.edu.ar/mundountref/tags/cursos, https://untref.edu.ar/mundountref/convenio-pami-formacion-adultos-mayores"
SCC 10,"https://untref.edu.ar/muntref/en/muestras/sierva-technoscience-for-optical-aberrations, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/4a5a9775-baja/, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/_d3a3520/"
